event_change,start_time,end_time,duration,state,most_implicated_var
271,2017-01-03 10:00:00,2017-01-03 10:05:00,0.08333333333333333,Degraded,Cyclone_Gas_Outlet_Temp
273,2017-01-03 10:20:00,2017-01-03 10:20:00,0.0,Degraded,
275,2017-01-03 10:50:00,2017-01-03 10:50:00,0.0,Degraded,
277,2017-01-03 11:45:00,2017-01-03 11:45:00,0.0,Degraded,
279,2017-01-03 12:55:00,2017-01-03 12:55:00,0.0,Degraded,
281,2017-01-03 13:15:00,2017-01-03 13:15:00,0.0,Degraded,
283,2017-01-03 13:35:00,2017-01-03 13:40:00,0.08333333333333333,Degraded,Cyclone_Material_Temp
285,2017-01-03 14:25:00,2017-01-03 14:35:00,0.16666666666666666,Degraded,Cyclone_Material_Temp
287,2017-01-03 15:45:00,2017-01-03 15:45:00,0.0,Degraded,
289,2017-01-03 15:55:00,2017-01-03 15:55:00,0.0,Degraded,
291,2017-01-03 16:35:00,2017-01-03 16:35:00,0.0,Degraded,
293,2017-01-03 17:20:00,2017-01-03 17:25:00,0.08333333333333333,Degraded,Cyclone_Inlet_Gas_Temp
295,2017-01-03 17:45:00,2017-01-03 17:45:00,0.0,Degraded,
297,2017-01-03 18:25:00,2017-01-03 18:25:00,0.0,Degraded,
299,2017-01-03 18:35:00,2017-01-03 18:35:00,0.0,Degraded,
301,2017-01-03 19:45:00,2017-01-03 19:45:00,0.0,Degraded,
303,2017-01-03 20:25:00,2017-01-03 20:25:00,0.0,Degraded,
305,2017-01-03 22:00:00,2017-01-03 22:00:00,0.0,Degraded,
307,2017-01-03 22:20:00,2017-01-03 22:20:00,0.0,Degraded,
309,2017-01-03 23:00:00,2017-01-03 23:00:00,0.0,Degraded,
311,2017-01-03 23:30:00,2017-01-03 23:30:00,0.0,Degraded,
313,2017-01-03 23:55:00,2017-01-03 23:55:00,0.0,Degraded,
315,2017-01-04 00:05:00,2017-01-04 00:05:00,0.0,Degraded,
317,2017-01-04 00:20:00,2017-01-04 00:20:00,0.0,Degraded,
319,2017-01-04 00:40:00,2017-01-04 00:40:00,0.0,Degraded,
321,2017-01-04 01:35:00,2017-01-04 01:35:00,0.0,Degraded,
323,2017-01-04 02:05:00,2017-01-04 02:05:00,0.0,Degraded,
325,2017-01-04 02:40:00,2017-01-04 02:40:00,0.0,Degraded,
327,2017-01-04 02:50:00,2017-01-04 02:50:00,0.0,Degraded,
329,2017-01-04 03:15:00,2017-01-04 03:15:00,0.0,Degraded,
331,2017-01-04 03:55:00,2017-01-04 03:55:00,0.0,Degraded,
333,2017-01-04 04:30:00,2017-01-04 04:30:00,0.0,Degraded,
335,2017-01-04 04:45:00,2017-01-04 04:55:00,0.16666666666666666,Degraded,Cyclone_Material_Temp
337,2017-01-04 05:05:00,2017-01-04 05:05:00,0.0,Degraded,
339,2017-01-04 05:35:00,2017-01-04 05:35:00,0.0,Degraded,
341,2017-01-04 07:05:00,2017-01-04 07:05:00,0.0,Degraded,
343,2017-01-04 07:35:00,2017-01-04 07:35:00,0.0,Degraded,
345,2017-01-04 07:45:00,2017-01-04 07:45:00,0.0,Degraded,
347,2017-01-04 10:55:00,2017-01-04 10:55:00,0.0,Degraded,
349,2017-01-04 11:25:00,2017-01-04 11:25:00,0.0,Degraded,
351,2017-01-04 11:45:00,2017-01-04 11:45:00,0.0,Degraded,
353,2017-01-04 12:15:00,2017-01-04 12:15:00,0.0,Degraded,
355,2017-01-04 13:45:00,2017-01-04 13:45:00,0.0,Degraded,
357,2017-01-04 14:00:00,2017-01-04 14:00:00,0.0,Degraded,
359,2017-01-04 14:55:00,2017-01-04 15:00:00,0.08333333333333333,Degraded,Cyclone_Gas_Outlet_Temp
361,2017-01-04 15:40:00,2017-01-04 15:40:00,0.0,Degraded,
363,2017-01-04 16:25:00,2017-01-04 16:25:00,0.0,Degraded,
365,2017-01-04 16:35:00,2017-01-04 16:35:00,0.0,Degraded,
367,2017-01-04 16:55:00,2017-01-04 16:55:00,0.0,Degraded,
369,2017-01-04 17:10:00,2017-01-04 17:10:00,0.0,Degraded,
371,2017-01-04 18:05:00,2017-01-04 18:10:00,0.08333333333333333,Degraded,Cyclone_Material_Temp
373,2017-01-04 18:55:00,2017-01-04 19:05:00,0.16666666666666666,Degraded,Cyclone_Material_Temp
375,2017-01-04 20:00:00,2017-01-04 20:00:00,0.0,Degraded,
377,2017-01-04 20:15:00,2017-01-04 20:20:00,0.08333333333333333,Degraded,Cyclone_Material_Temp
379,2017-01-04 20:35:00,2017-01-04 20:35:00,0.0,Degraded,
381,2017-01-04 20:55:00,2017-01-04 20:55:00,0.0,Degraded,
383,2017-01-04 21:10:00,2017-01-04 21:10:00,0.0,Degraded,
385,2017-01-04 22:30:00,2017-01-04 22:30:00,0.0,Degraded,
387,2017-01-04 23:15:00,2017-01-04 23:15:00,0.0,Degraded,
